School,Municipality,Board,School Level,Students,Staff,Total Cases,Status
Ã‰cole secondaire publique GisÃ¨le-Lalonde,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Secondary,1,0,1,Active
Ã‰cole secondaire publique L'Alternative,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Secondary,1,0,1,Active
Ã‰cole secondaire publique Louis-Riel,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Secondary,1,0,1,Active
Ã‰cole secondaire publique Maurice-Lapointe,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Secondary,2,0,2,Active
Ã‰cole Ã©lÃ©mentaire catholique Arc-en-ciel,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,2,0,2,Active
Ã‰cole Ã©lÃ©mentaire catholique De la DÃ©couverte,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,2,0,2,Active
Ã‰cole Ã©lÃ©mentaire catholique Elisabeth-BruyÃ¨re,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire catholique George-Ã‰tienne-Cartier,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,2,0,2,Active
Ã‰cole Ã©lÃ©mentaire catholique L'Ã‰toile-de-l'Est,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,0,1,1,Active
Ã‰cole Ã©lÃ©mentaire catholique Marius-Barbeau,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire catholique Montfort,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,1,1,2,Active
Ã‰cole Ã©lÃ©mentaire catholique Reine-des-Bois,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire catholique Riverside Sud II (Jonathan-Pitre),Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire catholique Roger-Saint-Denis,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire catholique Saint-Guillaume,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,2,0,2,Active
Ã‰cole Ã©lÃ©mentaire catholique Sainte-Bernadette,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire catholique Sainte-GeneviÃ¨ve,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,4,0,4,Active
Ã‰cole Ã©lÃ©mentaire catholique Sainte-Kateri,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire catholique Terre-des-Jeunes,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,3,0,3,Active
Ã‰cole Ã©lÃ©mentaire catholique d'enseignement personnalisÃ© Lamoureux,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,0,1,1,Active
Ã‰cole Ã©lÃ©mentaire catholique d'enseignement personnalisÃ© Ã‰douard-Bond,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,1,1,2,Active
Ã‰cole Ã©lÃ©mentaire publique GisÃ¨le-Lalonde,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,0,1,1,Active
Ã‰cole Ã©lÃ©mentaire publique Jeanne-SauvÃ©,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,2,1,3,Active
Ã‰cole Ã©lÃ©mentaire publique L'OdyssÃ©e,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,2,0,2,Active
Ã‰cole Ã©lÃ©mentaire publique Louis-Riel,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,4,0,4,Active
Ã‰cole Ã©lÃ©mentaire publique Marie-Curie,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,0,1,1,Active
Ã‰cole Ã©lÃ©mentaire publique MichaÃ«lle-Jean,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,1,1,2,Active
E L Crossley Secondary School,Pelham,DSB Niagara,Secondary,1,0,1,Active
St Alexander Catholic Elementary School,Pelham,Niagara CDSB,Elementary,1,0,1,Active
St Ann Catholic Elementary School,Pelham,Niagara CDSB,Elementary,1,0,1,Active
Our Lady of Lourdes Separate School,Pembroke,Renfrew County CDSB,Elementary,1,0,1,Active
James Keating Public School,Penetanguishene,Simcoe County DSB,Elementary,1,0,1,Active
St John Catholic High School,Perth,CDSB of Eastern Ontario,Secondary,1,0,1,Active
Kenner Collegiate and Vocational Institute,Peterborough,Kawartha Pine Ridge DSB,Secondary,1,0,1,Active
Prince of Wales Public School,Peterborough,Kawartha Pine Ridge DSB,Elementary,1,0,1,Active
St Anne Catholic Elementary School,Peterborough,Peterborough Victoria Northumberland and Clarington CDSB,Elementary,1,0,1,Active
St Peter Catholic Secondary School,Peterborough,Peterborough Victoria Northumberland and Clarington CDSB,Secondary,2,0,2,Active
Thomas A Stewart Secondary School,Peterborough,Kawartha Pine Ridge DSB,Secondary,1,2,3,Active
Lambton Central Collegiate and Vocational Institute,Petrolia,Lambton Kent DSB,Secondary,1,1,2,Active
St Philip Catholic School,Petrolia,St Clair CDSB,Elementary,1,0,1,Active
Ã‰cole Hillcrest Public School,Petrolia,Lambton Kent DSB,Elementary,2,0,2,Active
Altona Forest Public School,Pickering,Durham DSB,Elementary,1,0,1,Active
Bayview Heights Public School,Pickering,Durham DSB,Elementary,1,0,1,Active
Dunbarton High School,Pickering,Durham DSB,Secondary,3,0,3,Active
Frenchman's Bay Public School,Pickering,Durham DSB,Elementary,1,0,1,Active
Gandatsetiagon Public School,Pickering,Durham DSB,Elementary,6,2,8,Active
Glengrove Public School,Pickering,Durham DSB,Elementary,5,0,5,Active
Maple Ridge Public School,Pickering,Durham DSB,Elementary,1,0,1,Active
Pine Ridge Secondary School,Pickering,Durham DSB,Secondary,1,0,1,Active
Vaughan Willard Public School,Pickering,Durham DSB,Elementary,5,1,6,Active
Westcreek Public School,Pickering,Durham DSB,Elementary,2,1,3,Active
William Dunbar Public School,Pickering,Durham DSB,Elementary,3,0,3,Active
Ã‰cole Ronald-Marion,Pickering,CS Viamonde,Elem/Sec,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire Ronald Marion,Pickering,CS Viamonde,Elementary,3,0,3,Active
Ganaraska Trail Public School,Port Hope,Kawartha Pine Ridge DSB,Elementary,1,0,1,Active
North Hope Central Public School,Port Hope,Kawartha Pine Ridge DSB,Elementary,1,0,1,Active
Aberfoyle Public School,Puslinch,Upper Grand DSB,Elementary,1,0,1,Active
Prince Charles Public School,Quinte West,Hastings & Prince Edward DSB,Elementary,1,0,1,Active
Sacred Heart Catholic School,Quinte West,Algonquin and Lakeshore CDSB,Elementary,1,0,1,Active
St Paul Catholic Elementary School,Quinte West,Algonquin and Lakeshore CDSB,Elementary,0,1,1,Active
Trent River Public School,Quinte West,Hastings & Prince Edward DSB,Elementary,2,0,2,Active
Foley Catholic School,Ramara,Simcoe Muskoka CDSB,Elementary,0,1,1,Active
Adrienne Clarkson Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
Bayview Secondary School,Richmond Hill,York Region DSB,Secondary,0,0,2,Active
Beverley Acres Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
Beynon Fields Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
Charles Howitt Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
Christ the King Catholic Elementary School,Richmond Hill,York CDSB,Elementary,0,0,1,Active
Corpus Christi Catholic Elementary School,Richmond Hill,York CDSB,Elementary,0,0,2,Active
Crosby Heights Public School,Richmond Hill,York Region DSB,Elementary,0,0,4,Active
Doncrest Public School,Richmond Hill,York Region DSB,Elementary,0,0,3,Active
Father Frederick McGinn Catholic Elementary School,Richmond Hill,York CDSB,Elementary,0,0,2,Active
Father Henri J M Nouwen Catholic Elementary School,Richmond Hill,York CDSB,Elementary,0,0,2,Active
H.G. Bernard Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
Lake Wilcox Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
MacLeod's Landing Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
Michaelle Jean Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
Moraine Hills Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
Our Lady Queen of the World CA High School,Richmond Hill,York CDSB,Secondary,0,0,1,Active
Roselawn Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
Silver Pines Public School,Richmond Hill,York Region DSB,Elementary,0,0,8,Active
Silver Stream Public School,Richmond Hill,York Region DSB,Elementary,0,0,2,Active
Sixteenth Avenue Public School,Richmond Hill,York Region DSB,Elementary,0,0,2,Active
St John Paul II Catholic Elementary School,Richmond Hill,York CDSB,Elementary,0,0,1,Active
St Theresa of Lisieux Catholic High School,Richmond Hill,York CDSB,Secondary,0,0,1,Active
Walter Scott Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
Windham Ridge Public School,Richmond Hill,York Region DSB,Elementary,0,0,1,Active
Mother Teresa Elementary school,Russell,CDSB of Eastern Ontario,Elementary,1,1,2,Active
Russell High School,Russell,Upper Canada DSB,Secondary,2,0,2,Active
St Thomas Aquinas Catholic High School,Russell,CDSB of Eastern Ontario,Secondary,4,0,4,Active
Ã‰cole Ã©lÃ©mentaire catholique Saint-Joseph,Russell,CSDC de l'Est ontarien,Elementary,1,0,1,Active
Board Site,Sarnia,Lambton Kent DSB,Elementary,0,1,1,Active
Great Lakes Secondary School,Sarnia,Lambton Kent DSB,Secondary,1,0,1,Active
High Park Public School,Sarnia,Lambton Kent DSB,Elementary,2,1,3,Active
Lakeroad Public School,Sarnia,Lambton Kent DSB,Elementary,0,1,1,Active
London Road School,Sarnia,Lambton Kent DSB,Elementary,2,0,2,Active
Northern Collegiate Institute and Vocational School,Sarnia,Lambton Kent DSB,Secondary,1,0,1,Active
PE McGibbon Public School,Sarnia,Lambton Kent DSB,Elementary,0,1,1,Active
Rosedale Public School,Sarnia,Lambton Kent DSB,Elementary,1,0,1,Active
St Anne Catholic School,Sarnia,St Clair CDSB,Elementary,4,0,4,Active
St Patrick's Catholic High School,Sarnia,St Clair CDSB,Secondary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire Les Rapides,Sarnia,CS Viamonde,Elementary,2,0,2,Active
St Mary's College Separate School,Sault Ste. Marie,Huron-Superior CDSB,Secondary,1,0,1,Active
Good Shepherd Catholic School,Scugog,Durham CDSB,Elementary,3,0,3,Active
Port Perry High School,Scugog,Durham DSB,Secondary,1,1,2,Active
Centennial Hylands Elementary School,Shelburne,Upper Grand DSB,Elementary,1,1,2,Active
Hyland Heights Elementary School,Shelburne,Upper Grand DSB,Elementary,1,0,1,Active
Ecole Immaculee-Conception Separate School,South Bruce,Bruce-Grey CDSB,Elementary,1,0,1,Active
Hepworth Central Public School,South Bruce Peninsula,Bluewater DSB,Elementary,0,1,1,Active
Morrisburg Public School,South Dundas,Upper Canada DSB,Elementary,1,0,1,Active
Char-Lan Intermediate School,South Glengarry,Upper Canada DSB,Elementary,1,1,2,Active
Holy Trinity Catholic Secondary School,South Glengarry,CDSB of Eastern Ontario,Secondary,2,0,2,Active
Ã‰cole Ã©lÃ©mentaire catholique de l'Ange-Gardien,South Glengarry,CSDC de l'Est ontarien,Elementary,1,0,1,Active
Longue Sault Public School,South Stormont,Upper Canada DSB,Elementary,1,0,1,Active
Ekcoe Central School,Southwest Middlesex,Thames Valley DSB,Elementary,1,0,1,Active
Elmvale District High School,Springwater,Simcoe County DSB,Secondary,1,0,1,Active
Canadian Martyrs Catholic Elementary School,St. Catharines,Niagara CDSB,Elementary,0,1,1,Active
Edith Cavell Public School,St. Catharines,DSB Niagara,Elementary,1,1,2,Active
Ferndale Public School,St. Catharines,DSB Niagara,Elementary,0,1,1,Active
Lincoln Centennial Public School,St. Catharines,DSB Niagara,Elementary,1,0,1,Active
Our Lady of Fatima Catholic Elementary School,St. Catharines,Niagara CDSB,Elementary,5,0,5,Active
St Catharines Collegiate Institute and Vocational School,St. Catharines,DSB Niagara,Secondary,0,1,1,Active
Central Elgin Collegiate Institute,St. Thomas,Thames Valley DSB,Secondary,3,0,3,Active
Centreville Public School,Stone Mills,Limestone DSB,Elementary,0,1,1,Active
Jeanne SauvÃ© Catholic School,Stratford,Huron Perth CDSB,Elementary,1,0,1,Active
North Meadows Elementary School,Strathroy-Caradoc,Thames Valley DSB,Elementary,1,0,1,Active
Our Lady Immaculate School,Strathroy-Caradoc,London District Catholic School Board,Elementary,0,1,1,Active
Strathroy District Collegiate Institute,Strathroy-Caradoc,Thames Valley DSB,Secondary,1,0,1,Active
St Mary Catholic School,Tecumseh,Windsor-Essex CDSB,Elementary,2,0,2,Active
St Peter Catholic Elementary School,Tecumseh,Windsor-Essex CDSB,Elementary,1,0,1,Active
St Pius X Catholic School,Tecumseh,Windsor-Essex CDSB,Elementary,1,1,2,Active
Tecumseh Vista Academy- Secondary,Tecumseh,Greater Essex County DSB,Secondary,2,0,2,Active
Ã‰cole catholique secondaire l'Essor,Tecumseh,Conseil scolaire catholique Providence,Secondary,0,1,1,Active
Beaver Valley Community School,The Blue Mountains,Bluewater DSB,Elementary,0,1,1,Active
Ontario Public School,Thorold,DSB Niagara,Elementary,1,0,1,Active
Prince of Wales Public School,Thorold,DSB Niagara,Elementary,1,0,1,Active
R Ross Beattie Senior Public School,Timmins,DSB Ontario North East,Elementary,1,0,1,Active
Ã‰cole catholique Anicet-Morin,Timmins,CSDC des Grandes RiviÃ¨res,Elementary,1,0,1,Active
Ã‰cole secondaire catholique Theriault,Timmins,CSDC des Grandes RiviÃ¨res,Secondary,1,0,1,Active
ALPHA Alternative Junior School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Adam Beck Junior Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Africentric Alternative School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Agincourt Collegiate Institute,Toronto,Toronto DSB,Secondary,0,1,1,Active
Albert Campbell Collegiate Institute,Toronto,Toronto DSB,Secondary,1,1,2,Active
Albion Heights Junior Middle School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Alexander Stirling Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
All Saints Catholic School,Toronto,Toronto CDSB,Elementary,4,0,4,Active
Amesbury Middle School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Armour Heights Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Avondale Public School,Toronto,Toronto DSB,Elementary,2,1,3,Active
Avondale Secondary Alternative School,Toronto,Toronto DSB,Secondary,1,0,1,Active
Balmy Beach Community School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Banting and Best Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Baycrest Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Bayview Middle School,Toronto,Toronto DSB,Elementary,5,1,6,Active
Beaumonde Heights Junior Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Bedford Park PS,Toronto,Toronto DSB,Elementary,1,0,1,Active
Ben Heppner Vocal Music Academy,Toronto,Toronto DSB,Elementary,2,0,2,Active
Bendale Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Bessborough Drive Elementary & Middle School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Beverly Glen Junior Public School,Toronto,Toronto DSB,Elementary,1,2,3,Active
Birch Cliff Heights Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Birch Cliff Public School,Toronto,Toronto DSB,Elementary,3,2,5,Active
Bishop Allen Academy Catholic Secondary School,Toronto,Toronto CDSB,Secondary,5,0,5,Active
Bishop Marrocco / Thomas Merton Catholic Secondary School,Toronto,Toronto CDSB,Secondary,3,0,3,Active
Blantyre Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Blaydon Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Blessed Pier Giorgio Frassati Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
Bliss Carman Senior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Bloor Collegiate Institute,Toronto,Toronto DSB,Secondary,1,0,1,Active
Bloordale Middle School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Bloorlea Middle school,Toronto,Toronto DSB,Elementary,2,0,2,Active
Bowmore Junior and Senior Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Brebeuf College Secondary,Toronto,Toronto CDSB,Secondary,1,0,1,Active
Brian Public School,Toronto,Toronto DSB,Elementary,7,3,10,Active
Briarcrest Junior School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Bridlewood Junior Public School,Toronto,Toronto DSB,Elementary,6,2,8,Active
Broadacres Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Brock Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Brookhaven Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Bruce Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Burnhamthorpe Adult Learning Centre,Toronto,Toronto DSB,Secondary,1,0,1,Active
C W Jefferys Collegiate Institute,Toronto,Toronto DSB,Secondary,2,0,2,Active
CR Marchant Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Canadian Martyrs Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
Cardinal Carter Academy for the Arts,Toronto,Toronto CDSB,Elementary,1,0,1,Active
Cardinal Carter Academy for the Arts,Toronto,Toronto CDSB,Secondary,1,0,1,Active
Cardinal Leger Catholic School,Toronto,Toronto CDSB,Elementary,1,1,2,Active
Carleton Village Jr & Sr Sports & Wellness Academy,Toronto,Toronto DSB,Elementary,2,0,2,Active
Cassandra Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Cedar Drive Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Cedarbrae Collegiate Instititue,Toronto,Toronto DSB,Secondary,2,0,2,Active
Cedarbrook Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Cedarvale Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Central Toronto Academy,Toronto,Toronto DSB,Secondary,2,0,2,Active
Chalkfarm Public School,Toronto,Toronto DSB,Elementary,4,2,6,Active
Chaminade College School,Toronto,Toronto CDSB,Secondary,4,0,4,Active
Charles E. Webster,Toronto,Toronto DSB,Elementary,7,2,9,Active
Charles G Fraser Junior Public School,Toronto,Toronto DSB,Elementary,1,2,3,Active
Charles Gordon Senior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Charlottetown Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Chester Elementary School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Chief Dan George Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Churchill Heights Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Churchill Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
City Adult Learning Centre (CALC),Toronto,Toronto DSB,Secondary,2,0,2,Active
Claireville Junior School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Clarilea Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Clinton Street Junior Public School,Toronto,Toronto DSB,Elementary,6,0,6,Active
CollÃ¨ge franÃ§ais secondaire,Toronto,CS Viamonde,Secondary,1,0,1,Active
Cordella Junior Public School,Toronto,Toronto DSB,Elementary,3,1,4,Active
Cornell Junior Public School,Toronto,Toronto DSB,Elementary,4,0,4,Active
Corvette Junior Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Cosburn Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Crescent Town Elementary School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Cummer Valley Middle School,Toronto,Toronto DSB,Elementary,4,0,4,Active
D A Morrison Middle School,Toronto,Toronto DSB,Elementary,7,1,8,Active
D'Arcy McGee Catholic School,Toronto,Toronto CDSB,Elementary,5,2,7,Active
Danforth Collegiate Institute & Technical School,Toronto,Toronto DSB,Secondary,9,0,9,Active
David & Mary Thompson Collegiate Institute,Toronto,Toronto DSB,Secondary,4,0,4,Active
David Hornell Junior School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Daystrom Public School,Toronto,Toronto DSB,Elementary,5,0,5,Active
Deer Park Junior and Senior Public School,Toronto,Toronto DSB,Elementary,2,1,3,Active
Dennis Avenue Community School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Derrydown Public School,Toronto,Toronto DSB,Elementary,4,1,5,Active
Dewson Street Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Diefenbaker Elementary School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Dixon Grove Junior Middle School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Don Mills Collegiate Institute,Toronto,Toronto DSB,Secondary,1,0,1,Active
Donview Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Donwood Park Public School,Toronto,Toronto DSB,Elementary,6,2,8,Active
Downsview Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Downsview Secondary School,Toronto,Toronto DSB,Secondary,0,1,1,Active
Dr Marion Hilliard Senior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Drewry Secondary School,Toronto,Toronto DSB,Secondary,1,0,1,Active
Driftwood Public School,Toronto,Toronto DSB,Elementary,3,1,4,Active
Dublin Heights Elementary and Middle School,Toronto,Toronto DSB,Elementary,4,0,4,Active
Duke of Connaught Junior and Senior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Dundas Junior Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Dunlace Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Earl Beatty Junior and Senior Public School,Toronto,Toronto DSB,Elementary,2,1,3,Active
Earl Grey Senior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Earl Haig Secondary School,Toronto,Toronto DSB,Secondary,1,0,1,Active
East York Collegiate Institute,Toronto,Toronto DSB,Secondary,2,0,2,Active
Eatonville Junior School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Elizabeth Simcoe Junior Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Elkhorn Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Ellesmere-Statton Public School,Toronto,Toronto DSB,Elementary,4,0,4,Active
Elmbank Junior Middle Academy,Toronto,Toronto DSB,Elementary,1,0,1,Active
Elmlea Junior School,Toronto,Toronto DSB,Elementary,2,1,3,Active
Emery Adult Learning Centre,Toronto,Toronto DSB,Secondary,1,0,1,Active
Emery Collegiate Institute,Toronto,Toronto DSB,Secondary,4,0,4,Active
Epiphany of our Lord Catholic Academy,Toronto,Toronto CDSB,Elementary,1,0,1,Active
Equinox Holistic Alternative School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Etobicoke Collegiate Institute,Toronto,Toronto DSB,Secondary,3,0,3,Active
Etobicoke School of the Arts,Toronto,Toronto DSB,Secondary,0,1,1,Active
Fairbank Memorial Community School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Fairbank Public School,Toronto,Toronto DSB,Elementary,6,2,8,Active
Fairglen Junior Public School,Toronto,Toronto DSB,Elementary,2,1,3,Active
Fairmount Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Father Henry Carr Catholic Secondary School,Toronto,Toronto CDSB,Secondary,0,3,3,Active
Father John Redmond Catholic Secondary School,Toronto,Toronto CDSB,Secondary,2,0,2,Active
Fenside Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Fern Avenue Elemenary,Toronto,Toronto DSB,Elementary,1,1,2,Active
Firgrove Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Fisherville Senior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Flemington Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Forest Hill Collegiate Institute,Toronto,Toronto DSB,Secondary,1,0,1,Active
Forest Hill Junior Senior Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Forest Manor Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Frankland Community School Junior,Toronto,Toronto DSB,Elementary,1,0,1,Active
Fraser Mustard Early Learning Academy,Toronto,Toronto DSB,Elementary,2,1,3,Active
Gateway Public School,Toronto,Toronto DSB,Elementary,6,1,7,Active
General Brock Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
General Mercer Junior Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
George Anderson Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
George Harvey Collegiate Institute,Toronto,Toronto DSB,Secondary,4,0,4,Active
George P Mackie Junior Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
George Peck Public School,Toronto,Toronto DSB,Elementary,4,0,4,Active
Georges Vanier Secondary School,Toronto,Toronto DSB,Secondary,2,1,3,Active
Glamorgan Junior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Gledhill Junior Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Glen Ames Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Glen Park Public School,Toronto,Toronto DSB,Elementary,4,0,4,Active
Glenview Senior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Gracedale Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Gracefield Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Greenholme Junior Middle School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Greenwood Secondary School,Toronto,Toronto DSB,Secondary,1,1,2,Active
Grenoble Public School,Toronto,Toronto DSB,Elementary,4,0,4,Active
Grey Owl Junior Public School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Gulfstream Public School,Toronto,Toronto DSB,Elementary,2,1,3,Active
HJ Alexander Community School,Toronto,Toronto DSB,Elementary,2,2,4,Active
Harbord Collegiate Institute,Toronto,Toronto DSB,Secondary,2,0,2,Active
Hawthorne II Bilingual Alternative Junior School,Toronto,Toronto DSB,Elementary,2,1,3,Active
Henry Hudson Senior Public School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Highcastle Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Highfield Junior School,Toronto,Toronto DSB,Elementary,3,2,5,Active
Highland Creek Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Highland Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Highview Public School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Hillcrest Community School,Toronto,Toronto DSB,Elementary,2,0,2,Active
Hilltop Middle School,Toronto,Toronto DSB,Elementary,0,1,1,Active
Hollycrest Middle School,Toronto,Toronto DSB,Elementary,1,0,1,Active
Holy Cross Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
Holy Rosary Catholic School,Toronto,Toronto CDSB,Elementary,2,1,3,Active
Holy Spirit Catholic School,Toronto,Toronto CDSB,Elementary,1,0,1,Active
Howard Junior Public School,Toronto,Toronto DSB,Elementary,1,1,2,Active
Humber Summit Middle School,Toronto,Toronto DSB,Elementary,3,0,3,Active
Humberside Collegiate Institute,Toronto,Toronto DSB,Secondary,4,0,4,Active
Humberwood Downs Junior Middle Academy,Toronto,Toronto DSB,Elementary,1,1,2,Active
Humewood House,Toronto,Toronto DSB,Secondary,4,0,4,Active
Immaculate Conception Catholic School,Toronto,Toronto CDSB,Elementary,2,0,2,Active
Islington Junior Middle School,Toronto,Toronto DSB,Elementary,1,1,2,Active
J B Tyrrell Senior Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
J G Workman Public School,Toronto,Toronto DSB,Elementary,2,0,2,Active
